,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
463,33-2021,33-2021,33-2021.00 AND 33-2021.01 AND 33-2021.02,33-2021.00 AND 33-2021.01 AND 33-2021.02,Fire Inspectors and Investigators AND Fire Inspectors AND Fire Investigators,Fire Inspectors and Investigators AND Fire Inspectors AND Fire Investigators,33-2021,33-2021.00 AND 33-2021.01 AND 33-2021.02,33-2021.00 AND 33-2021.01 AND 33-2021.02,Fire Inspectors and Investigators AND Fire Inspectors AND Fire Investigators,Fire Inspectors and Investigators AND Fire Inspectors AND Fire Investigators,33-2021,33-2021.00 AND 33-2021.01 AND 33-2021.02,33-2021.00 AND 33-2021.01 AND 33-2021.02,Fire Inspectors and Investigators AND Fire Inspectors AND Fire Investigators,Fire Inspectors and Investigators AND Fire Inspectors AND Fire Investigators,33-2021,33-2021.00 AND 33-2021.01 AND 33-2021.02,33-2021.00,Fire Inspectors and Investigators AND Fire Inspectors AND Fire Investigators,Fire Inspectors and Investigators
464,33-2022,33-2022,33-2022.00,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists,33-2022,33-2022.00,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists,33-2022,33-2022.00,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists,33-2022,33-2022.00,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists
465,33-3011,33-3011,33-3011.00,33-3011.00,Bailiffs,Bailiffs,33-3011,33-3011.00,33-3011.00,Bailiffs,Bailiffs,33-3011,33-3011.00,33-3011.00,Bailiffs,Bailiffs,33-3011,33-3011.00,33-3011.00,Bailiffs,Bailiffs
466,33-3012,33-3012,33-3012.00,33-3012.00,Correctional Officers and Jailers,Correctional Officers and Jailers,33-3012,33-3012.00,33-3012.00,Correctional Officers and Jailers,Correctional Officers and Jailers,33-3012,33-3012.00,33-3012.00,Correctional Officers and Jailers,Correctional Officers and Jailers,33-3012,33-3012.00,33-3012.00,Correctional Officers and Jailers,Correctional Officers and Jailers
467,33-3021,33-3021,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.04 AND 33-3021.05,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05,"Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators AND Immigration and Customs Inspectors",Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors,33-3021,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors,33-3021,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05 AND 33-3021.06,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05 AND 33-3021.06,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors AND Intelligence Analysts,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors AND Intelligence Analysts,33-3021,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.06,33-3021.00 AND 33-3021.02 AND 33-3021.06,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Intelligence Analysts,Detectives and Criminal Investigators AND Police Identification and Records Officers AND Intelligence Analysts
468,33-3021,33-3021,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.04 AND 33-3021.05,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05,"Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Child Support, Missing Persons, and Unemployment Insurance Fraud Investigators AND Immigration and Customs Inspectors",Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors,33-3021,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors,33-3021,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05 AND 33-3021.06,33-3021.00 AND 33-3021.01 AND 33-3021.02 AND 33-3021.03 AND 33-3021.05 AND 33-3021.06,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors AND Intelligence Analysts,Detectives and Criminal Investigators AND Police Detectives AND Police Identification and Records Officers AND Criminal Investigators and Special Agents AND Immigration and Customs Inspectors AND Intelligence Analysts,33-3051,33-3021.05,33-3051.04,Immigration and Customs Inspectors,Customs and Border Protection Officers
469,33-3031,33-3031,33-3031.00,33-3031.00,Fish and Game Wardens,Fish and Game Wardens,33-3031,33-3031.00,33-3031.00,Fish and Game Wardens,Fish and Game Wardens,33-3031,33-3031.00,33-3031.00,Fish and Game Wardens,Fish and Game Wardens,33-3031,33-3031.00,33-3031.00,Fish and Game Wardens,Fish and Game Wardens
470,33-3041,33-3041,33-3041.00,33-3041.00,Parking Enforcement Workers,Parking Enforcement Workers,33-3041,33-3041.00,33-3041.00,Parking Enforcement Workers,Parking Enforcement Workers,33-3041,33-3041.00,33-3041.00,Parking Enforcement Workers,Parking Enforcement Workers,33-3041,33-3041.00,33-3041.00,Parking Enforcement Workers,Parking Enforcement Workers
471,33-3051,33-3051,33-3051.00 AND 33-3051.01 AND 33-3051.02 AND 33-3051.03,33-3051.00 AND 33-3051.01 AND 33-3051.03,Police and Sheriff's Patrol Officers AND Police Patrol Officers AND Highway Patrol Pilots AND Sheriffs and Deputy Sheriffs,Police and Sheriff's Patrol Officers AND Police Patrol Officers AND Sheriffs and Deputy Sheriffs,33-3051,33-3051.00 AND 33-3051.01 AND 33-3051.03,33-3051.00 AND 33-3051.01 AND 33-3051.03,Police and Sheriff's Patrol Officers AND Police Patrol Officers AND Sheriffs and Deputy Sheriffs,Police and Sheriff's Patrol Officers AND Police Patrol Officers AND Sheriffs and Deputy Sheriffs,33-3051,33-3051.00 AND 33-3051.01 AND 33-3051.03,33-3051.00 AND 33-3051.01 AND 33-3051.03,Police and Sheriff's Patrol Officers AND Police Patrol Officers AND Sheriffs and Deputy Sheriffs,Police and Sheriff's Patrol Officers AND Police Patrol Officers AND Sheriffs and Deputy Sheriffs,33-3051,33-3051.00 AND 33-3051.01 AND 33-3051.03,33-3051.00,Police and Sheriff's Patrol Officers AND Police Patrol Officers AND Sheriffs and Deputy Sheriffs,Police and Sheriff's Patrol Officers
472,33-3052,33-3052,33-3052.00,33-3052.00,Transit and Railroad Police,Transit and Railroad Police,33-3052,33-3052.00,33-3052.00,Transit and Railroad Police,Transit and Railroad Police,33-3052,33-3052.00,33-3052.00,Transit and Railroad Police,Transit and Railroad Police,33-3052,33-3052.00,33-3052.00,Transit and Railroad Police,Transit and Railroad Police
473,33-9011,33-9011,33-9011.00,33-9011.00,Animal Control Workers,Animal Control Workers,33-9011,33-9011.00,33-9011.00,Animal Control Workers,Animal Control Workers,33-9011,33-9011.00,33-9011.00,Animal Control Workers,Animal Control Workers,33-9011,33-9011.00,33-9011.00,Animal Control Workers,Animal Control Workers
474,33-9021,33-9021,33-9021.00,33-9021.00,Private Detectives and Investigators,Private Detectives and Investigators,33-9021,33-9021.00,33-9021.00,Private Detectives and Investigators,Private Detectives and Investigators,33-9021,33-9021.00,33-9021.00,Private Detectives and Investigators,Private Detectives and Investigators,33-9021,33-9021.00,33-9021.00,Private Detectives and Investigators,Private Detectives and Investigators
475,33-9031,33-9031,33-9031.00,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Gaming Surveillance Officers and Gaming Investigators,33-9031,33-9031.00,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Gaming Surveillance Officers and Gaming Investigators,33-9031,33-9031.00,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Gaming Surveillance Officers and Gaming Investigators,33-9031,33-9031.00,33-9031.00,Gaming Surveillance Officers and Gaming Investigators,Gambling Surveillance Officers and Gambling Investigators
476,33-9032,33-9032,33-9032.00,33-9032.00,Security Guards,Security Guards,33-9032,33-9032.00,33-9032.00,Security Guards,Security Guards,33-9032,33-9032.00,33-9032.00,Security Guards,Security Guards,33-9032,33-9032.00,33-9032.00,Security Guards,Security Guards
477,33-9091,33-9091,33-9091.00,33-9091.00,Crossing Guards,Crossing Guards,33-9091,33-9091.00,33-9091.00,Crossing Guards,Crossing Guards,33-9091,33-9091.00,33-9091.00,Crossing Guards,Crossing Guards,33-9091,33-9091.00,33-9091.00,Crossing Guards,Crossing Guards and Flaggers
478,33-9092,33-9092,33-9092.00,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092,33-9092.00,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092,33-9092.00,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092,33-9092.00,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
479,33-9099,33-9099,33-9099.99,33-9099.99,"Protective Service Workers, All Other","Protective Service Workers, All Other",33-9099,33-9099.01 AND 33-9099.99,33-9099.01 AND 33-9099.00,"Transportation Security Screeners AND Protective Service Workers, All Other","Transportation Security Officers AND Protective Service Workers, All Other",33-9093,33-9099.01,33-9093.00,Transportation Security Officers,Transportation Security Screeners,33-9093,33-9093.00,33-9093.00,Transportation Security Screeners,Transportation Security Screeners
480,33-9099,33-9099,33-9099.99,33-9099.99,"Protective Service Workers, All Other","Protective Service Workers, All Other",33-9099,33-9099.01 AND 33-9099.99,33-9099.01 AND 33-9099.00,"Transportation Security Screeners AND Protective Service Workers, All Other","Transportation Security Officers AND Protective Service Workers, All Other",33-9099,33-9099.00 AND 33-9099.02,33-9099.00 AND 33-9099.02,"Protective Service Workers, All Other AND Loss Prevention Specialists","Protective Service Workers, All Other AND Retail Loss Prevention Specialists",33-9094,33-9099.00,33-9094.00,"Protective Service Workers, All Other",School Bus Monitors
481,33-9099,33-9099,33-9099.99,33-9099.99,"Protective Service Workers, All Other","Protective Service Workers, All Other",33-9099,33-9099.01 AND 33-9099.99,33-9099.01 AND 33-9099.00,"Transportation Security Screeners AND Protective Service Workers, All Other","Transportation Security Officers AND Protective Service Workers, All Other",33-9099,33-9099.00 AND 33-9099.02,33-9099.00 AND 33-9099.02,"Protective Service Workers, All Other AND Loss Prevention Specialists","Protective Service Workers, All Other AND Retail Loss Prevention Specialists",33-9099,33-9099.00 AND 33-9099.02,33-9099.00 AND 33-9099.02,"Protective Service Workers, All Other AND Retail Loss Prevention Specialists","Protective Service Workers, All Other AND Retail Loss Prevention Specialists"
482,35-1011,35-1011,35-1011.00,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011,35-1011.00,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011,35-1011.00,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011,35-1011.00,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks
483,51-3011,35-1011,51-3011.01,35-1011.00,"Bakers, Bread and Pastry",Chefs and Head Cooks,35-1011,35-1011.00,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011,35-1011.00,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks,35-1011,35-1011.00,35-1011.00,Chefs and Head Cooks,Chefs and Head Cooks
484,35-1012,35-1012,35-1012.00,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35-1012,35-1012.00,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35-1012,35-1012.00,35-1012.00,First-Line Supervisors/Managers of Food Preparation and Serving Workers,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,35-1012.00,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,First-Line Supervisors of Food Preparation and Serving Workers
485,35-2011,35-2011,35-2011.00,35-2011.00,"Cooks, Fast Food","Cooks, Fast Food",35-2011,35-2011.00,35-2011.00,"Cooks, Fast Food","Cooks, Fast Food",35-2011,35-2011.00,35-2011.00,"Cooks, Fast Food","Cooks, Fast Food",35-2011,35-2011.00,35-2011.00,"Cooks, Fast Food","Cooks, Fast Food"
486,35-2012,35-2012,35-2012.00,35-2012.00,"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria",35-2012,35-2012.00,35-2012.00,"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria",35-2012,35-2012.00,35-2012.00,"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria",35-2012,35-2012.00,35-2012.00,"Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria"
487,35-2013,35-2013,35-2013.00,35-2013.00,"Cooks, Private Household","Cooks, Private Household",35-2013,35-2013.00,35-2013.00,"Cooks, Private Household","Cooks, Private Household",35-2013,35-2013.00,35-2013.00,"Cooks, Private Household","Cooks, Private Household",35-2013,35-2013.00,35-2013.00,"Cooks, Private Household","Cooks, Private Household"
488,35-2014,35-2014,35-2014.00,35-2014.00,"Cooks, Restaurant","Cooks, Restaurant",35-2014,35-2014.00,35-2014.00,"Cooks, Restaurant","Cooks, Restaurant",35-2014,35-2014.00,35-2014.00,"Cooks, Restaurant","Cooks, Restaurant",35-2014,35-2014.00,35-2014.00,"Cooks, Restaurant","Cooks, Restaurant"
489,35-2015,35-2015,35-2015.00,35-2015.00,"Cooks, Short Order","Cooks, Short Order",35-2015,35-2015.00,35-2015.00,"Cooks, Short Order","Cooks, Short Order",35-2015,35-2015.00,35-2015.00,"Cooks, Short Order","Cooks, Short Order",35-2015,35-2015.00,35-2015.00,"Cooks, Short Order","Cooks, Short Order"
490,35-2019,35-2019,35-2019.99,35-2019.99,"Cooks, All Other","Cooks, All Other",35-2019,35-2019.99,35-2019.00,"Cooks, All Other","Cooks, All Other",35-2019,35-2019.00,35-2019.00,"Cooks, All Other","Cooks, All Other",35-2019,35-2019.00,35-2019.00,"Cooks, All Other","Cooks, All Other"
491,35-2021,35-2021,35-2021.00,35-2021.00,Food Preparation Workers,Food Preparation Workers,35-2021,35-2021.00,35-2021.00,Food Preparation Workers,Food Preparation Workers,35-2021,35-2021.00,35-2021.00,Food Preparation Workers,Food Preparation Workers,35-2021,35-2021.00,35-2021.00,Food Preparation Workers,Food Preparation Workers
492,35-3011,35-3011,35-3011.00,35-3011.00,Bartenders,Bartenders,35-3011,35-3011.00,35-3011.00,Bartenders,Bartenders,35-3011,35-3011.00,35-3011.00,Bartenders,Bartenders,35-3011,35-3011.00,35-3011.00,Bartenders,Bartenders
493,35-3021,35-3021,35-3021.00,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food",35-3021,35-3021.00,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food",35-3021,35-3021.00,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food",35-3023,35-3021.00,35-3023.00,"Combined Food Preparation and Serving Workers, Including Fast Food",Fast Food and Counter Workers
